train_number,train_name,train_type,priority_class,delay_penalty_weight,direction,station,km_location,arrival_time,departure_time,arrival_min_of_day,departure_min_of_day,is_halt
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,TDL,209.0,18:49,18:49,1129.4,1129.4,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,FZD,226.0,18:59,18:59,1139.1,1139.1,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,ETW,301.0,19:42,19:42,1182.0,1182.0,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,PHD,357.0,20:14,20:14,1214.0,1214.0,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,CNB,440.0,21:01,21:03,1261.4,1263.4,True
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,NDLS,0.0,16:30,16:30,990.0,990.0,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,GZB,25.0,16:44,16:44,1004.3,1004.3,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,DER,37.0,16:51,16:51,1011.1,1011.1,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,KRJ,83.0,17:17,17:17,1037.4,1037.4,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,ALJN,131.0,17:45,17:45,1064.9,1064.9,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,TDL,209.0,18:29,18:29,1109.4,1109.4,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,FZD,226.0,18:39,18:39,1119.1,1119.1,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,ETW,301.0,19:22,19:22,1162.0,1162.0,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,PHD,357.0,19:54,19:54,1194.0,1194.0,False
12314,Sealdah Rajdhani,RAJDHANI,1,100,DN,CNB,440.0,20:41,20:43,1241.4,1243.4,True
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,NDLS,0.0,20:05,20:05,1205.0,1205.0,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,GZB,25.0,20:21,20:21,1220.8,1220.8,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,DER,37.0,20:28,20:28,1228.4,1228.4,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,KRJ,83.0,20:57,20:57,1257.4,1257.4,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,ALJN,131.0,21:28,21:28,1287.7,1287.7,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,TDL,209.0,22:17,22:17,1337.0,1337.0,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,FZD,226.0,22:28,22:28,1347.7,1347.7,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,ETW,301.0,23:15,23:15,1395.1,1395.1,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,PHD,357.0,23:50,23:50,1430.5,1430.5,False
12560,Shiv Ganga Express,SUPERFAST,2,65,DN,CNB,440.0,00:43,00:45,42.9,44.9,True
12418,Prayagraj Express,SUPERFAST,2,60,DN,NDLS,0.0,22:10,22:10,1330.0,1330.0,False
12418,Prayagraj Express,SUPERFAST,2,60,DN,GZB,25.0,22:28,22:30,1347.6,1349.6,True
12418,Prayagraj Express,SUPERFAST,2,60,DN,DER,37.0,22:38,22:38,1358.1,1358.1,False
12418,Prayagraj Express,SUPERFAST,2,60,DN,KRJ,83.0,23:11,23:11,1390.6,1390.6,False
12418,Prayagraj Express,SUPERFAST,2,60,DN,ALJN,131.0,23:44,23:46,1424.5,1426.5,True
12418,Prayagraj Express,SUPERFAST,2,60,DN,TDL,209.0,00:42,00:42,41.5,41.5,False
12418,Prayagraj Express,SUPERFAST,2,60,DN,FZD,226.0,00:54,00:56,53.5,55.5,True
12418,Prayagraj Express,SUPERFAST,2,60,DN,ETW,301.0,01:48,01:50,108.5,110.5,True
12418,Prayagraj Express,SUPERFAST,2,60,DN,PHD,357.0,02:30,02:30,150.0,150.0,False
12418,Prayagraj Express,SUPERFAST,2,60,DN,CNB,440.0,03:29,03:31,208.6,210.6,True
14218,Unchahar Express,EXPRESS,3,45,DN,NDLS,0.0,21:10,21:10,1270.0,1270.0,False
14218,Unchahar Express,EXPRESS,3,45,DN,GZB,25.0,21:33,21:35,1293.1,1295.1,True
14218,Unchahar Express,EXPRESS,3,45,DN,DER,37.0,21:46,21:48,1306.2,1308.2,True
14218,Unchahar Express,EXPRESS,3,45,DN,KRJ,83.0,22:31,22:33,1350.6,1352.6,True
14218,Unchahar Express,EXPRESS,3,45,DN,ALJN,131.0,23:17,23:19,1396.9,1398.9,True
14218,Unchahar Express,EXPRESS,3,45,DN,TDL,209.0,00:31,00:33,30.9,32.9,True
14218,Unchahar Express,EXPRESS,3,45,DN,FZD,226.0,00:49,00:51,48.6,50.6,True
14218,Unchahar Express,EXPRESS,3,45,DN,ETW,301.0,02:00,02:02,119.8,121.8,True
14218,Unchahar Express,EXPRESS,3,45,DN,PHD,357.0,02:54,02:56,173.5,175.5,True
14218,Unchahar Express,EXPRESS,3,45,DN,CNB,440.0,04:12,04:14,252.2,254.2,True
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,NDLS,0.0,16:10,16:10,970.0,970.0,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,GZB,25.0,16:27,16:27,986.7,986.7,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,DER,37.0,16:35,16:35,994.7,994.7,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,KRJ,83.0,17:05,17:05,1025.3,1025.3,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,ALJN,131.0,17:37,17:37,1057.3,1057.3,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,TDL,209.0,18:29,18:29,1109.3,1109.3,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,FZD,226.0,18:41,18:41,1120.7,1120.7,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,ETW,301.0,19:31,19:31,1170.7,1170.7,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,PHD,357.0,20:08,20:08,1208.0,1208.0,False
12878,Ranchi Garib Rath,SUPERFAST,2,60,DN,CNB,440.0,21:03,21:05,1263.3,1265.3,True
12276,Allahabad Duronto,SUPERFAST,2,70,DN,NDLS,0.0,22:30,22:30,1350.0,1350.0,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,GZB,25.0,22:46,22:46,1365.8,1365.8,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,DER,37.0,22:53,22:53,1373.4,1373.4,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,KRJ,83.0,23:22,23:22,1402.4,1402.4,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,ALJN,131.0,23:53,23:53,1432.7,1432.7,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,TDL,209.0,00:42,00:42,42.0,42.0,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,FZD,226.0,00:53,00:53,52.7,52.7,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,ETW,301.0,01:40,01:40,100.1,100.1,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,PHD,357.0,02:15,02:15,135.5,135.5,False
12276,Allahabad Duronto,SUPERFAST,2,70,DN,CNB,440.0,03:08,03:10,187.9,189.9,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,NDLS,0.0,08:30,08:30,510.0,510.0,False
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,GZB,25.0,09:00,09:02,540.0,542.0,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,DER,37.0,09:16,09:18,556.4,558.4,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,KRJ,83.0,10:14,10:16,613.6,615.6,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,ALJN,131.0,11:13,11:15,673.2,675.2,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,TDL,209.0,12:49,12:51,768.8,770.8,True
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,FZD,226.0,13:11,13:11,791.2,791.2,False
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,ETW,301.0,14:41,14:41,881.2,881.2,False
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,PHD,357.0,15:48,15:48,948.4,948.4,False
04420,Ghaziabad-Tundla Passenger,PASSENGER,3,30,DN,CNB,440.0,17:28,17:28,1048.0,1048.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,NDLS,0.0,01:00,01:00,60.0,60.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,GZB,25.0,01:25,01:25,85.0,85.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,DER,37.0,01:37,01:37,97.0,97.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,KRJ,83.0,02:23,02:23,143.0,143.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,ALJN,131.0,03:11,03:11,191.0,191.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,TDL,209.0,04:29,04:29,269.0,269.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,FZD,226.0,04:46,04:46,286.0,286.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,ETW,301.0,06:01,06:01,361.0,361.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,PHD,357.0,06:57,06:57,417.0,417.0,False
CONT-DN-01,Dadri Container Freight,FREIGHT,4,15,DN,CNB,440.0,08:20,08:20,500.0,500.0,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,NDLS,0.0,02:45,02:45,165.0,165.0,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,GZB,25.0,03:12,03:12,192.3,192.3,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,DER,37.0,03:25,03:25,205.4,205.4,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,KRJ,83.0,04:16,04:16,255.5,255.5,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,ALJN,131.0,05:08,05:08,307.9,307.9,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,TDL,209.0,06:33,06:33,393.0,393.0,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,FZD,226.0,06:52,06:52,411.5,411.5,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,ETW,301.0,08:13,08:13,493.4,493.4,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,PHD,357.0,09:14,09:14,554.5,554.5,False
COAL-DN-02,Panki Thermal Coal Rake,FREIGHT,4,15,DN,CNB,440.0,10:45,10:45,645.0,645.0,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,NDLS,0.0,11:00,11:00,660.0,660.0,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,GZB,25.0,11:27,11:27,687.3,687.3,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,DER,37.0,11:40,11:40,700.4,700.4,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,KRJ,83.0,12:31,12:31,750.5,750.5,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,ALJN,131.0,13:23,13:23,802.9,802.9,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,TDL,209.0,14:48,14:48,888.0,888.0,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,FZD,226.0,15:07,15:07,906.5,906.5,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,ETW,301.0,16:28,16:28,988.4,988.4,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,PHD,357.0,17:29,17:29,1049.5,1049.5,False
GOODS-DN-03,General Freight Service,FREIGHT,4,15,DN,CNB,440.0,19:00,19:00,1140.0,1140.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,NDLS,0.0,14:15,14:15,855.0,855.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,GZB,25.0,14:40,14:40,880.0,880.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,DER,37.0,14:52,14:52,892.0,892.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,KRJ,83.0,15:38,15:38,938.0,938.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,ALJN,131.0,16:26,16:26,986.0,986.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,TDL,209.0,17:44,17:44,1064.0,1064.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,FZD,226.0,18:01,18:01,1081.0,1081.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,ETW,301.0,19:16,19:16,1156.0,1156.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,PHD,357.0,20:12,20:12,1212.0,1212.0,False
CONT-DN-04,Automobile Rake Special,FREIGHT,4,15,DN,CNB,440.0,21:35,21:35,1295.0,1295.0,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,CNB,440.0,18:30,18:30,1110.0,1110.0,True
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,PHD,357.0,19:13,19:13,1153.3,1153.3,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,ETW,301.0,19:43,19:43,1182.5,1182.5,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,FZD,226.0,20:22,20:22,1221.7,1221.7,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,TDL,209.0,20:31,20:31,1230.5,1230.5,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,ALJN,131.0,21:11,21:13,1271.2,1273.2,True
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,KRJ,83.0,21:38,21:38,1298.3,1298.3,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,DER,37.0,22:02,22:02,1322.3,1322.3,False
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,GZB,25.0,22:09,22:11,1328.5,1330.5,True
22435,Vande Bharat Express (UP),VANDE_BHARAT,1,100,UP,NDLS,0.0,22:24,22:24,1343.6,1343.6,False
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,CNB,440.0,16:50,16:50,1010.0,1010.0,True
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,PHD,357.0,17:40,17:40,1059.8,1059.8,False
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,ETW,301.0,18:13,18:15,1093.4,1095.4,True
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,FZD,226.0,19:00,19:00,1140.4,1140.4,False
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,TDL,209.0,19:11,19:13,1150.6,1152.6,True
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,ALJN,131.0,19:59,20:01,1199.4,1201.4,True
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,KRJ,83.0,20:30,20:30,1230.2,1230.2,False
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,DER,37.0,20:58,20:58,1257.8,1257.8,False
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,GZB,25.0,21:05,21:07,1265.0,1267.0,True
12003,Lucknow Shatabdi (UP),SHATABDI,1,95,UP,NDLS,0.0,21:22,21:22,1282.0,1282.0,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,CNB,440.0,05:10,05:10,310.0,310.0,True
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,PHD,357.0,05:57,05:57,357.4,357.4,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,ETW,301.0,06:29,06:29,389.4,389.4,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,FZD,226.0,07:12,07:12,432.3,432.3,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,TDL,209.0,07:22,07:22,442.0,442.0,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,ALJN,131.0,08:07,08:07,486.6,486.6,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,KRJ,83.0,08:34,08:34,514.0,514.0,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,DER,37.0,09:00,09:00,540.3,540.3,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,GZB,25.0,09:07,09:07,547.1,547.1,False
12423,Dibrugarh Rajdhani (UP),RAJDHANI,1,100,UP,NDLS,0.0,09:21,09:21,561.4,561.4,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,CNB,440.0,04:50,04:50,290.0,290.0,True
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,PHD,357.0,05:37,05:37,337.4,337.4,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,ETW,301.0,06:09,06:09,369.4,369.4,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,FZD,226.0,06:52,06:52,412.3,412.3,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,TDL,209.0,07:02,07:02,422.0,422.0,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,ALJN,131.0,07:47,07:47,466.6,466.6,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,KRJ,83.0,08:14,08:14,494.0,494.0,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,DER,37.0,08:40,08:40,520.3,520.3,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,GZB,25.0,08:47,08:47,527.1,527.1,False
12301,Howrah Rajdhani (UP),RAJDHANI,1,100,UP,NDLS,0.0,09:01,09:01,541.4,541.4,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,CNB,440.0,05:35,05:35,335.0,335.0,True
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,PHD,357.0,06:22,06:22,382.4,382.4,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,ETW,301.0,06:54,06:54,414.4,414.4,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,FZD,226.0,07:37,07:37,457.3,457.3,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,TDL,209.0,07:47,07:47,467.0,467.0,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,ALJN,131.0,08:32,08:32,511.6,511.6,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,KRJ,83.0,08:59,08:59,539.0,539.0,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,DER,37.0,09:25,09:25,565.3,565.3,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,GZB,25.0,09:32,09:32,572.1,572.1,False
12313,Sealdah Rajdhani (UP),RAJDHANI,1,100,UP,NDLS,0.0,09:46,09:46,586.4,586.4,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,CNB,440.0,00:50,00:50,50.0,50.0,True
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,PHD,357.0,01:45,01:45,105.3,105.3,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,ETW,301.0,02:23,02:23,142.7,142.7,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,FZD,226.0,03:13,03:13,192.7,192.7,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,TDL,209.0,03:24,03:24,204.0,204.0,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,ALJN,131.0,04:16,04:18,256.0,258.0,True
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,KRJ,83.0,04:50,04:50,290.0,290.0,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,DER,37.0,05:21,05:21,320.7,320.7,False
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,GZB,25.0,05:29,05:31,328.7,330.7,True
12565,Bihar Sampark Kranti (UP),SUPERFAST,2,60,UP,NDLS,0.0,05:47,05:47,347.3,347.3,False
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,CNB,440.0,00:30,00:30,30.0,30.0,True
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,PHD,357.0,01:29,01:29,88.6,88.6,False
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,ETW,301.0,02:08,02:10,128.1,130.1,True
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,FZD,226.0,03:03,03:05,183.1,185.1,True
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,TDL,209.0,03:17,03:17,197.1,197.1,False
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,ALJN,131.0,04:12,04:14,252.1,254.1,True
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,KRJ,83.0,04:48,04:48,288.0,288.0,False
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,DER,37.0,05:20,05:20,320.5,320.5,False
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,GZB,25.0,05:29,05:31,328.9,330.9,True
12417,Prayagraj Express (UP),SUPERFAST,2,60,UP,NDLS,0.0,05:49,05:49,348.6,348.6,False
14217,Unchahar Express (UP),EXPRESS,3,45,UP,CNB,440.0,19:40,19:40,1180.0,1180.0,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,PHD,357.0,20:57,20:59,1256.6,1258.6,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,ETW,301.0,21:50,21:52,1310.3,1312.3,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,FZD,226.0,23:02,23:04,1381.5,1383.5,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,TDL,209.0,23:19,23:21,1399.2,1401.2,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,ALJN,131.0,00:33,00:35,33.2,35.2,True
14217,Unchahar Express (UP),EXPRESS,3,45,UP,KRJ,83.0,01:20,01:22,79.5,81.5,True
