asset_id,department,section_from,section_to,km_start,km_end,mast_start,mast_end,line,contact_wire_diameter_mm,wire_wear_percentage,wire_status,catenary_wire_condition,atd_position_mm,atd_status,ambient_temperature_c,wire_height_at_support_mm,stagger_mm,insulator_condition,pantograph_spark_count_30d,mast_foundation_status,power_block_required,tower_wagon_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
OHE-0023,TRACTION_DISTRIBUTION_OHE,GZB,DER,27.41,28.01,27/10,27/22,UP,9.87,59.4,WORN,WORN,420.6,NORMAL,16.3,5590,-22,POLLUTED,4,STABLE,True,False,135,0,249
OHE-0024,TRACTION_DISTRIBUTION_OHE,PHD,CNB,411.8,413.11,411/5,411/24,UP,10.73,37.8,GOOD,GOOD,605.2,NORMAL,33.2,5451,-49,CLEAN,3,STABLE,True,False,213,0,332
OHE-0025,TRACTION_DISTRIBUTION_OHE,FZD,ETW,275.11,276.07,275/8,275/29,UP,8.0,100.0,CONDEMN_RENEW,WORN,671.7,NORMAL,40.0,5547,15,CLEAN,6,STABLE,True,True,335,1,19
OHE-0026,TRACTION_DISTRIBUTION_OHE,DER,KRJ,71.56,72.17,71/2,71/30,DN,10.89,33.8,GOOD,GOOD,475.0,NORMAL,18.7,5567,122,CLEAN,4,STABLE,True,False,63,0,355
OHE-0027,TRACTION_DISTRIBUTION_OHE,FZD,ETW,243.11,244.37,243/4,243/26,UP,8.92,83.2,CRITICAL,GOOD,398.4,NORMAL,18.1,5536,6,FLASHOVER_RISK,8,SETTLEMENT,True,True,197,1,19
OHE-0028,TRACTION_DISTRIBUTION_OHE,FZD,ETW,228.81,229.37,228/9,228/29,UP,8.89,84.0,CRITICAL,CRITICAL,648.9,NORMAL,44.7,5534,-46,CLEAN,18,STABLE,True,True,270,1,20
OHE-0029,TRACTION_DISTRIBUTION_OHE,PHD,CNB,358.89,360.11,358/1,358/16,UP,12.24,0.0,GOOD,GOOD,399.9,NORMAL,15.6,5555,-82,POLLUTED,3,STABLE,True,False,40,0,320
OHE-0030,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,133.49,134.93,133/5,133/24,DN,8.0,100.0,CONDEMN_RENEW,GOOD,345.6,NORMAL,17.4,5475,-99,CLEAN,16,STABLE,True,True,170,1,14
OHE-0031,TRACTION_DISTRIBUTION_OHE,ETW,PHD,316.54,317.15,316/9,316/21,DN,9.57,66.9,CRITICAL,GOOD,533.7,NORMAL,28.3,5556,105,CLEAN,13,STABLE,True,True,65,0,241
OHE-0032,TRACTION_DISTRIBUTION_OHE,ETW,PHD,335.42,336.02,335/6,335/25,DN,10.89,33.8,GOOD,GOOD,602.8,NORMAL,38.9,5611,-6,CLEAN,3,STABLE,True,False,65,0,355
OHE-0033,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,190.83,191.99,190/13,190/28,DN,10.69,38.8,GOOD,WORN,487.5,NORMAL,15.6,5545,45,CLEAN,4,STABLE,True,False,28,0,360
OHE-0034,TRACTION_DISTRIBUTION_OHE,TDL,FZD,211.48,212.58,211/15,211/29,DN,8.98,81.7,CRITICAL,GOOD,502.9,NORMAL,15.2,5539,69,CLEAN,27,STABLE,True,True,306,1,20
OHE-0035,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,13.55,14.55,13/1,13/25,UP,10.85,34.8,GOOD,WORN,583.9,NORMAL,41.7,5593,-17,FLASHOVER_RISK,12,STABLE,True,False,76,0,258
OHE-0036,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,16.35,16.94,16/3,16/30,DN,8.84,85.2,CONDEMN_RENEW,CRITICAL,735.1,NORMAL,40.9,5514,36,CLEAN,24,STABLE,True,True,266,1,12
OHE-0037,TRACTION_DISTRIBUTION_OHE,DER,KRJ,60.7,61.84,60/6,60/30,UP,8.0,100.0,CONDEMN_RENEW,WORN,458.5,NORMAL,25.8,5565,-47,CLEAN,9,STABLE,True,True,355,1,19
OHE-0038,TRACTION_DISTRIBUTION_OHE,DER,KRJ,58.86,59.65,58/1,58/28,DN,10.53,42.9,WORN,GOOD,533.3,NORMAL,33.8,5618,-226,CLEAN,4,STABLE,True,False,86,0,294
OHE-0039,TRACTION_DISTRIBUTION_OHE,TDL,FZD,214.04,215.48,214/3,214/23,UP,11.09,28.8,GOOD,GOOD,594.2,NORMAL,41.9,5479,-148,CLEAN,0,STABLE,True,False,103,0,349
OHE-0040,TRACTION_DISTRIBUTION_OHE,FZD,ETW,250.72,251.52,250/4,250/22,UP,9.77,61.9,WORN,GOOD,571.3,NORMAL,31.5,5431,-40,CLEAN,1,SETTLEMENT,True,False,229,0,273
OHE-0041,TRACTION_DISTRIBUTION_OHE,ETW,PHD,349.85,350.64,349/15,349/31,UP,9.44,70.2,CRITICAL,WORN,351.2,NORMAL,18.7,5534,69,CLEAN,17,TILTING,True,True,177,1,12
OHE-0042,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,17.78,18.6,17/1,17/31,UP,8.0,100.0,CONDEMN_RENEW,WORN,575.4,NORMAL,40.1,5510,20,CLEAN,29,STABLE,True,True,214,1,13
OHE-0043,TRACTION_DISTRIBUTION_OHE,FZD,ETW,285.86,286.44,285/2,285/24,UP,11.91,8.3,GOOD,WORN,555.7,NORMAL,28.6,5599,152,CLEAN,4,STABLE,True,False,24,0,361
OHE-0044,TRACTION_DISTRIBUTION_OHE,FZD,ETW,288.13,289.3,288/11,288/27,DN,10.49,43.9,WORN,GOOD,497.1,NORMAL,28.1,5521,-69,CLEAN,4,STABLE,True,False,57,0,299
OHE-0045,TRACTION_DISTRIBUTION_OHE,GZB,DER,33.32,34.47,33/4,33/19,UP,9.35,72.4,CRITICAL,GOOD,493.5,NORMAL,23.8,5418,-136,CLEAN,28,STABLE,True,True,206,1,21
OHE-0046,TRACTION_DISTRIBUTION_OHE,PHD,CNB,419.71,421.11,419/1,419/30,UP,9.69,63.9,WORN,GOOD,572.5,NORMAL,34.6,5511,27,CLEAN,3,STABLE,True,False,133,0,287
OHE-0047,TRACTION_DISTRIBUTION_OHE,PHD,CNB,361.44,362.4,361/7,361/16,UP,8.0,100.0,CONDEMN_RENEW,GOOD,535.4,NORMAL,23.5,5590,-62,CLEAN,15,STABLE,True,True,350,1,19
OHE-0048,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,95.0,96.41,95/12,95/32,DN,9.33,72.9,CRITICAL,GOOD,533.6,NORMAL,26.5,5542,-123,CLEAN,9,STABLE,True,True,321,0,202
OHE-0049,TRACTION_DISTRIBUTION_OHE,TDL,FZD,217.57,218.53,217/9,217/16,DN,9.37,71.9,CRITICAL,WORN,357.8,NORMAL,19.8,5722,6,CLEAN,8,STABLE,True,True,299,0,205
OHE-0050,TRACTION_DISTRIBUTION_OHE,DER,KRJ,60.21,61.09,60/7,60/30,UP,9.23,75.4,CRITICAL,WORN,553.8,NORMAL,43.8,5573,-66,POLLUTED,12,STABLE,True,True,266,1,24
OHE-0051,TRACTION_DISTRIBUTION_OHE,PHD,CNB,378.23,378.82,378/3,378/25,UP,9.08,79.2,CRITICAL,WORN,546.4,NORMAL,35.2,5580,-8,POLLUTED,7,STABLE,True,True,145,0,190
OHE-0052,TRACTION_DISTRIBUTION_OHE,GZB,DER,25.01,25.81,25/12,25/23,UP,9.99,56.4,WORN,GOOD,587.1,NORMAL,32.5,5552,81,CLEAN,1,STABLE,True,False,145,0,285
OHE-0053,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,2.93,3.65,2/4,2/32,DN,9.96,57.1,WORN,GOOD,567.9,NORMAL,39.8,5655,59,CLEAN,2,STABLE,True,False,145,0,285
OHE-0054,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,95.97,97.29,95/1,95/25,DN,8.1,100.0,CONDEMN_RENEW,WORN,398.3,NORMAL,22.9,5428,-17,CLEAN,11,STABLE,True,True,240,1,21
OHE-0055,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,102.0,103.33,102/12,102/27,UP,10.81,35.8,GOOD,WORN,432.2,NORMAL,21.3,5691,79,CLEAN,0,STABLE,True,False,209,0,333
OHE-0056,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,10.97,12.22,10/15,10/20,DN,9.55,67.4,CRITICAL,GOOD,498.1,NORMAL,24.3,5603,21,CLEAN,27,STABLE,True,True,127,1,22
OHE-0057,TRACTION_DISTRIBUTION_OHE,DER,KRJ,79.91,80.68,79/13,79/30,UP,10.51,43.4,WORN,GOOD,435.8,NORMAL,15.3,5534,3,CLEAN,1,STABLE,True,False,33,0,302
OHE-0058,TRACTION_DISTRIBUTION_OHE,ETW,PHD,318.34,319.42,318/9,318/25,UP,9.27,74.4,CRITICAL,WORN,381.8,NORMAL,18.3,5520,15,POLLUTED,28,STABLE,True,True,267,1,16
OHE-0059,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,193.73,195.22,193/6,193/31,DN,10.41,45.9,WORN,GOOD,311.4,NORMAL,18.5,5574,40,CLEAN,2,STABLE,True,False,232,0,272
OHE-0060,TRACTION_DISTRIBUTION_OHE,PHD,CNB,431.95,432.8,431/7,431/29,DN,9.81,60.9,WORN,GOOD,398.5,NORMAL,16.0,5460,-106,CLEAN,3,STABLE,True,False,160,0,283
OHE-0061,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,2.39,3.06,2/15,2/27,DN,9.02,80.7,CRITICAL,GOOD,444.9,NORMAL,31.6,5544,-6,CLEAN,7,STABLE,True,True,331,0,200
OHE-0062,TRACTION_DISTRIBUTION_OHE,GZB,DER,32.82,34.22,32/6,32/28,DN,10.78,36.6,GOOD,GOOD,636.1,NORMAL,38.5,5557,112,CLEAN,0,STABLE,True,False,93,0,350
OHE-0063,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,0.31,0.95,0/10,0/32,DN,9.77,61.9,WORN,GOOD,707.5,NORMAL,37.5,5570,-92,CLEAN,1,STABLE,True,False,52,0,300
OHE-0064,TRACTION_DISTRIBUTION_OHE,GZB,DER,34.22,35.59,34/10,34/22,DN,10.12,53.1,WORN,GOOD,468.5,NORMAL,16.6,5567,30,CLEAN,1,STABLE,True,False,158,0,283
OHE-0065,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,0.41,1.79,0/8,0/21,UP,11.73,12.8,GOOD,GOOD,553.8,NORMAL,32.6,5588,8,CLEAN,0,STABLE,True,False,72,0,354
OHE-0066,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,0.93,1.9,0/5,0/21,UP,10.78,36.6,GOOD,GOOD,555.5,NORMAL,30.5,5628,74,CLEAN,4,STABLE,True,False,165,0,339
OHE-0067,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,199.23,200.27,199/11,199/23,UP,10.73,37.8,GOOD,WORN,590.8,NORMAL,26.3,5547,74,CLEAN,3,STABLE,True,False,205,0,333
OHE-0068,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,201.46,202.36,201/15,201/24,DN,9.9,58.6,WORN,WORN,359.8,NORMAL,17.9,5507,3,CLEAN,2,STABLE,True,False,162,0,283
OHE-0069,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,10.9,11.99,10/9,10/30,UP,10.11,53.4,WORN,GOOD,407.4,NORMAL,16.0,5545,122,CLEAN,2,STABLE,True,False,198,0,277
OHE-0070,TRACTION_DISTRIBUTION_OHE,PHD,CNB,360.21,361.06,360/10,360/16,DN,11.03,30.3,GOOD,WORN,491.5,NORMAL,32.5,5494,-43,CLEAN,0,STABLE,True,False,111,0,348
OHE-0071,TRACTION_DISTRIBUTION_OHE,FZD,ETW,232.57,233.28,232/10,232/16,UP,12.24,0.0,GOOD,GOOD,616.1,NORMAL,38.0,5595,2,CLEAN,1,STABLE,True,False,41,0,358
OHE-0072,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,6.7,8.03,6/6,6/18,DN,8.0,100.0,CONDEMN_RENEW,GOOD,432.3,NORMAL,21.1,5576,-8,POLLUTED,7,STABLE,True,True,355,1,15
OHE-0073,TRACTION_DISTRIBUTION_OHE,FZD,ETW,288.16,288.96,288/7,288/20,DN,8.72,88.2,CONDEMN_RENEW,WORN,548.8,NORMAL,30.0,5512,29,CLEAN,23,STABLE,True,True,361,1,11
OHE-0074,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,141.03,142.26,141/15,141/25,DN,12.22,0.5,GOOD,GOOD,435.9,NORMAL,27.9,5528,-37,CLEAN,3,STABLE,True,False,27,0,360
OHE-0075,TRACTION_DISTRIBUTION_OHE,ETW,PHD,351.95,352.96,351/13,351/29,UP,10.81,35.8,GOOD,GOOD,439.9,NORMAL,18.3,5569,-29,CLEAN,0,STABLE,True,False,35,0,359
OHE-0076,TRACTION_DISTRIBUTION_OHE,ETW,PHD,323.76,324.51,323/11,323/16,DN,10.22,50.6,WORN,GOOD,524.3,NORMAL,28.2,5541,160,CLEAN,3,STABLE,True,False,199,0,277
OHE-0077,TRACTION_DISTRIBUTION_OHE,FZD,ETW,267.51,268.54,267/7,267/24,DN,9.92,58.1,WORN,GOOD,436.7,NORMAL,24.8,5576,-83,CLEAN,0,STABLE,True,False,257,0,268
OHE-0078,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,156.41,157.02,156/9,156/30,UP,10.99,31.3,GOOD,GOOD,645.9,NORMAL,41.3,5526,3,CLEAN,1,STABLE,True,False,60,0,355
OHE-0079,TRACTION_DISTRIBUTION_OHE,ETW,PHD,321.02,322.02,321/12,321/31,DN,11.62,15.5,GOOD,WORN,480.0,NORMAL,17.4,5521,-111,CLEAN,2,STABLE,True,False,37,0,359
OHE-0080,TRACTION_DISTRIBUTION_OHE,TDL,FZD,224.26,225.05,224/15,224/18,UP,10.45,44.9,WORN,GOOD,695.8,NORMAL,44.9,5536,-38,CLEAN,3,STABLE,True,False,55,0,299
OHE-0081,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,20.04,21.2,20/2,20/24,DN,10.48,44.1,WORN,GOOD,525.1,NORMAL,37.9,5528,74,CLEAN,2,STABLE,True,False,84,0,295
OHE-0082,TRACTION_DISTRIBUTION_OHE,FZD,ETW,273.33,274.55,273/3,273/22,UP,8.0,100.0,CONDEMN_RENEW,WORN,655.5,NORMAL,40.4,5517,-71,FLASHOVER_RISK,25,STABLE,True,True,345,1,1
OHE-0083,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,2.48,3.43,2/13,2/22,DN,10.13,52.9,WORN,GOOD,369.1,NORMAL,17.4,5521,24,CLEAN,4,STABLE,True,False,57,0,299
OHE-0084,TRACTION_DISTRIBUTION_OHE,TDL,FZD,223.06,224.35,223/11,223/21,DN,10.67,39.3,GOOD,GOOD,583.8,NORMAL,25.2,5615,-141,CLEAN,0,STABLE,True,False,173,0,338
OHE-0085,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,20.0,21.43,20/7,20/29,DN,8.94,82.7,CRITICAL,CRITICAL,671.8,NORMAL,39.2,5532,68,CLEAN,5,STABLE,True,True,282,0,208
OHE-0086,TRACTION_DISTRIBUTION_OHE,GZB,DER,29.9,31.18,29/1,29/28,DN,11.37,21.8,GOOD,GOOD,526.2,NORMAL,25.7,5562,12,CLEAN,1,STABLE,True,False,40,0,358
OHE-0087,TRACTION_DISTRIBUTION_OHE,DER,KRJ,71.58,72.36,71/8,71/28,DN,8.0,100.0,CONDEMN_RENEW,CRITICAL,672.5,NORMAL,37.4,5536,-88,CLEAN,6,STABLE,True,True,335,1,19
OHE-0088,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,124.48,125.15,124/4,124/17,DN,11.51,18.3,GOOD,GOOD,677.4,NORMAL,44.1,5507,-112,CLEAN,2,STABLE,True,False,115,0,347
OHE-0089,TRACTION_DISTRIBUTION_OHE,PHD,CNB,379.3,379.97,379/8,379/24,UP,9.79,61.4,WORN,GOOD,469.2,NORMAL,25.0,5525,-56,CLEAN,4,STABLE,True,False,209,0,276
OHE-0090,TRACTION_DISTRIBUTION_OHE,TDL,FZD,220.7,221.71,220/2,220/20,DN,8.39,96.5,CONDEMN_RENEW,WORN,466.0,NORMAL,16.9,5597,144,CLEAN,21,STABLE,True,True,195,1,13
OHE-0091,TRACTION_DISTRIBUTION_OHE,TDL,FZD,217.51,218.12,217/10,217/22,DN,8.25,100.0,CONDEMN_RENEW,CRITICAL,437.9,NORMAL,28.1,5591,-79,FLASHOVER_RISK,26,STABLE,True,True,338,1,1
OHE-0092,TRACTION_DISTRIBUTION_OHE,TDL,FZD,220.62,221.3,220/11,220/25,DN,11.92,8.0,GOOD,GOOD,612.7,NORMAL,41.4,5543,-17,CLEAN,4,STABLE,True,False,35,0,359
OHE-0093,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,91.93,93.19,91/9,91/30,UP,11.51,18.3,GOOD,GOOD,480.0,NORMAL,32.0,5579,-26,CLEAN,3,STABLE,True,False,105,0,349
OHE-0094,TRACTION_DISTRIBUTION_OHE,ETW,PHD,306.25,307.03,306/12,306/16,DN,8.0,100.0,CONDEMN_RENEW,GOOD,556.0,NORMAL,40.7,5612,-57,CLEAN,30,STABLE,True,True,205,1,13
OHE-0095,TRACTION_DISTRIBUTION_OHE,DER,KRJ,77.09,77.77,77/10,77/31,UP,8.0,100.0,CONDEMN_RENEW,WORN,516.4,NORMAL,32.3,5571,43,CLEAN,25,STABLE,True,True,112,1,15
OHE-0096,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,182.4,183.79,182/2,182/19,UP,8.0,100.0,CONDEMN_RENEW,GOOD,431.8,NORMAL,16.6,5570,32,CLEAN,27,STABLE,True,True,327,1,11
OHE-0097,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,113.3,113.97,113/15,113/19,UP,9.72,63.2,WORN,WORN,551.8,NORMAL,38.4,5587,128,CLEAN,2,STABLE,True,False,127,0,288
OHE-0098,TRACTION_DISTRIBUTION_OHE,ETW,PHD,341.57,342.44,341/9,341/22,UP,9.37,71.9,CRITICAL,GOOD,505.7,NORMAL,40.5,5465,-20,CLEAN,26,STABLE,True,True,226,1,21
OHE-0099,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,113.05,114.14,113/7,113/26,UP,8.95,82.5,CRITICAL,WORN,594.4,NORMAL,40.6,5591,-277,CLEAN,22,STABLE,True,True,223,1,21
OHE-0100,TRACTION_DISTRIBUTION_OHE,PHD,CNB,406.29,407.46,406/11,406/29,UP,8.0,100.0,CONDEMN_RENEW,CRITICAL,505.1,NORMAL,33.6,5607,5,CLEAN,12,STABLE,True,True,356,1,19
OHE-0101,TRACTION_DISTRIBUTION_OHE,PHD,CNB,436.43,437.4,436/15,436/29,UP,10.16,52.1,WORN,GOOD,604.3,NORMAL,31.5,5436,-145,CLEAN,4,STABLE,True,False,252,0,269
OHE-0102,TRACTION_DISTRIBUTION_OHE,PHD,CNB,434.09,435.55,434/13,434/24,DN,9.72,63.2,WORN,WORN,578.4,NORMAL,44.5,5562,91,CLEAN,4,STABLE,True,False,249,0,270
OHE-0103,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,97.64,98.21,97/3,97/22,UP,12.24,0.0,GOOD,GOOD,543.1,NORMAL,29.1,5606,114,CLEAN,1,STABLE,True,False,24,0,361
OHE-0104,TRACTION_DISTRIBUTION_OHE,FZD,ETW,253.21,254.44,253/5,253/17,UP,9.76,62.2,WORN,GOOD,422.5,NORMAL,26.3,5547,-54,FLASHOVER_RISK,13,STABLE,True,False,145,0,190
OHE-0105,TRACTION_DISTRIBUTION_OHE,FZD,ETW,259.45,260.2,259/7,259/24,UP,8.0,100.0,CONDEMN_RENEW,GOOD,515.9,NORMAL,38.9,5553,-28,CLEAN,9,STABLE,True,True,249,1,21
OHE-0106,TRACTION_DISTRIBUTION_OHE,ETW,PHD,345.61,346.71,345/14,345/27,DN,10.83,35.3,GOOD,GOOD,547.2,NORMAL,35.4,5590,4,CLEAN,2,STABLE,True,False,68,0,354
OHE-0107,TRACTION_DISTRIBUTION_OHE,FZD,ETW,288.74,289.71,288/7,288/23,DN,8.0,100.0,CONDEMN_RENEW,CRITICAL,481.0,NORMAL,23.4,5531,28,CLEAN,17,STABLE,True,True,334,1,11
OHE-0108,TRACTION_DISTRIBUTION_OHE,DER,KRJ,58.12,59.24,58/14,58/27,DN,10.34,47.6,WORN,GOOD,603.1,NORMAL,36.0,5583,-72,CLEAN,4,STABLE,True,False,204,0,276
OHE-0109,TRACTION_DISTRIBUTION_OHE,GZB,DER,31.08,31.8,31/2,31/27,UP,8.61,91.0,CONDEMN_RENEW,CRITICAL,514.7,NORMAL,23.3,5518,16,POLLUTED,25,STABLE,True,True,298,1,8
OHE-0110,TRACTION_DISTRIBUTION_OHE,ETW,PHD,353.97,354.93,353/13,353/19,UP,12.02,5.5,GOOD,GOOD,696.8,NORMAL,40.8,5688,62,POLLUTED,1,STABLE,True,False,55,0,318
OHE-0111,TRACTION_DISTRIBUTION_OHE,GZB,DER,33.26,34.66,33/7,33/28,DN,10.85,34.8,GOOD,GOOD,516.0,NORMAL,24.5,5485,-91,CLEAN,4,STABLE,True,False,139,0,343
OHE-0112,TRACTION_DISTRIBUTION_OHE,GZB,DER,25.2,25.73,25/15,25/26,DN,12.24,0.0,GOOD,GOOD,566.9,NORMAL,38.6,5501,-111,CLEAN,4,STABLE,True,False,22,0,361
OHE-0113,TRACTION_DISTRIBUTION_OHE,DER,KRJ,81.95,83.04,81/15,81/21,DN,10.15,52.4,WORN,GOOD,585.9,NORMAL,28.9,5610,-39,CLEAN,2,STABLE,True,False,119,0,289
OHE-0114,TRACTION_DISTRIBUTION_OHE,ETW,PHD,301.12,302.5,301/15,301/30,DN,8.0,100.0,CONDEMN_RENEW,GOOD,449.6,NORMAL,26.4,5541,-195,CLEAN,31,STABLE,True,True,283,1,12
OHE-0115,TRACTION_DISTRIBUTION_OHE,FZD,ETW,275.27,276.47,275/14,275/32,UP,9.79,61.4,WORN,GOOD,592.7,NORMAL,23.2,5636,-19,CLEAN,1,STABLE,True,False,168,0,282
OHE-0116,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,184.62,186.0,184/7,184/23,DN,10.19,51.4,WORN,WORN,504.9,NORMAL,35.8,5563,0,CLEAN,4,STABLE,True,False,198,0,277
