asset_id,department,asset_type,station,km_location,line,point_throw_time_sec,motor_peak_current_amps,insulation_resistance_megohm,total_stroke_cycles,track_circuit_voltage,track_circuit_ballast_resistance,relay_age_years,ei_error_count_30d,battery_health_percentage,last_failure_days_ago,health_index,priority_tier,disconnection_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
SIG-0058,SIGNAL_AND_TELECOM,AXLE_COUNTER,ALJN,129.55,UP,0.0,0.0,15.0,0,0.0,5.0,15,0,81.0,531,45.0,HIGH,True,64,1,16
SIG-0059,SIGNAL_AND_TELECOM,AXLE_COUNTER,KRJ,82.07,YARD,0.0,0.0,15.0,0,0.0,5.0,13,0,94.2,31,92.0,LOW,False,194,0,336
SIG-0060,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.68,DN,0.0,0.0,15.0,0,5.54,5.09,17,0,81.3,600,72.25,LOW,False,155,0,265
SIG-0061,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,225.35,YARD,6.19,3.5,8.3,41699,0.0,5.0,14,0,72.9,189,24.9,CRITICAL,True,267,1,9
SIG-0062,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.49,YARD,5.62,2.02,15.0,10606,0.0,5.0,4,0,84.9,62,70.52,MEDIUM,False,163,0,258
SIG-0063,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,438.73,YARD,0.0,0.0,15.0,0,3.0,0.88,2,0,75.3,142,52.45,HIGH,True,51,1,19
SIG-0064,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,210.24,YARD,0.0,0.0,15.0,0,2.92,7.14,17,0,88.1,576,74.7,LOW,False,106,0,273
SIG-0065,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,0.0,DN,0.0,0.0,15.0,0,3.5,1.74,15,0,93.9,221,45.25,HIGH,True,195,1,16
SIG-0066,SIGNAL_AND_TELECOM,EI_SYSTEM,GZB,24.98,UP,0.0,0.0,15.0,0,0.0,5.0,8,13,94.5,385,35.0,HIGH,True,210,1,13
SIG-0067,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,209.55,DN,4.33,2.82,14.8,10971,0.0,5.0,10,0,70.7,486,71.05,MEDIUM,False,286,0,260
SIG-0068,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.27,DN,0.0,0.0,15.0,0,2.79,4.8,11,0,96.2,42,96.1,LOW,False,78,0,350
SIG-0069,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.47,DN,4.76,2.31,21.4,3519,0.0,5.0,19,0,81.8,454,76.6,LOW,False,154,0,280
SIG-0070,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,224.88,UP,5.95,3.17,4.4,37722,0.0,5.0,8,0,96.5,54,21.71,CRITICAL,True,232,1,8
SIG-0071,SIGNAL_AND_TELECOM,EI_SYSTEM,GZB,25.73,UP,0.0,0.0,15.0,0,0.0,5.0,3,0,87.6,692,100.0,LOW,False,195,0,365
SIG-0072,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,129.64,DN,0.0,0.0,15.0,0,3.42,5.47,4,0,87.5,670,83.05,LOW,False,339,0,303
SIG-0073,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,132.46,UP,4.13,1.89,16.1,5557,0.0,5.0,10,0,89.9,647,95.93,LOW,False,80,0,350
SIG-0074,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,35.84,YARD,4.62,3.0,15.3,16044,0.0,5.0,10,0,96.9,97,62.46,MEDIUM,True,138,0,229
SIG-0075,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,38.34,YARD,4.55,2.46,9.4,17259,0.0,5.0,2,0,81.4,301,74.42,MEDIUM,False,218,0,272
SIG-0076,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,438.61,YARD,0.0,0.0,15.0,0,0.0,5.0,2,0,97.4,417,45.0,HIGH,True,130,1,16
SIG-0077,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,UP,4.78,2.63,15.3,17666,0.0,5.0,6,0,79.2,70,68.77,MEDIUM,False,126,0,252
SIG-0078,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,36.74,YARD,4.01,1.74,13.3,6584,0.0,5.0,2,0,87.9,158,99.85,LOW,False,246,0,364
SIG-0079,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,81.61,UP,0.0,0.0,15.0,0,5.26,3.93,19,0,80.8,439,72.15,LOW,False,157,0,264
SIG-0080,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,439.8,YARD,0.0,0.0,15.0,0,0.0,5.0,20,0,81.3,658,45.0,HIGH,True,319,1,16
SIG-0081,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,356.73,DN,0.0,0.0,15.0,0,0.0,5.0,13,0,83.1,508,45.0,HIGH,True,34,1,16
SIG-0082,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,225.74,DN,4.52,2.94,15.0,11422,0.0,5.0,14,0,90.8,698,65.38,MEDIUM,False,126,0,240
SIG-0083,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,302.22,UP,0.0,0.0,15.0,0,0.0,5.0,6,14,74.2,537,35.0,HIGH,True,69,1,13
SIG-0084,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,26.41,UP,0.0,0.0,15.0,0,6.46,2.65,17,0,94.8,533,63.849999999999994,LOW,True,323,0,234
SIG-0085,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,301.77,UP,0.0,0.0,15.0,0,0.0,5.0,17,1,76.3,659,100.0,LOW,False,189,0,365
SIG-0086,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,37.32,DN,4.89,3.54,14.1,23905,0.0,5.0,11,0,98.8,502,46.65,HIGH,True,94,1,17
SIG-0087,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,23.57,UP,5.1,2.83,18.4,25704,0.0,5.0,10,0,81.0,570,59.26,MEDIUM,True,91,0,218
SIG-0088,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,130.08,UP,0.0,0.0,15.0,0,0.0,5.0,12,13,79.8,415,35.0,HIGH,True,61,1,13
SIG-0089,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,209.98,UP,5.16,3.27,4.7,31179,0.0,5.0,16,0,94.5,148,32.11,CRITICAL,True,240,1,11
SIG-0090,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,355.98,YARD,0.0,0.0,15.0,0,0.0,5.0,18,0,87.3,330,45.0,HIGH,True,103,1,16
SIG-0091,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,24.93,UP,6.49,3.01,0.5,39707,0.0,5.0,10,0,71.3,663,13.03,CRITICAL,True,217,1,5
SIG-0092,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,PHD,358.23,YARD,0.0,0.0,15.0,0,2.59,5.71,11,0,83.5,331,94.6,LOW,False,108,0,345
SIG-0093,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,FZD,225.5,YARD,0.0,0.0,15.0,0,3.17,1.95,15,0,99.0,73,50.8,HIGH,True,84,1,18
SIG-0094,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.12,UP,5.6,3.18,0.5,42637,0.0,5.0,3,0,90.8,361,15.03,CRITICAL,True,243,1,6
SIG-0095,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,357.11,UP,0.0,0.0,15.0,0,0.0,5.0,9,0,76.9,87,45.0,HIGH,True,127,1,16
SIG-0096,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,439.31,YARD,5.48,2.18,14.0,23224,0.0,5.0,18,0,82.3,197,68.86,MEDIUM,False,124,0,252
SIG-0097,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,0.57,YARD,0.0,0.0,15.0,0,4.44,5.18,2,0,71.0,498,85.3,LOW,False,294,0,312
SIG-0098,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,301.18,UP,0.0,0.0,15.0,0,0.0,5.0,12,0,87.6,208,100.0,LOW,False,328,0,365
SIG-0099,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,207.54,DN,5.99,3.42,6.7,35140,0.0,5.0,10,0,71.9,557,22.13,CRITICAL,True,74,1,8
SIG-0100,SIGNAL_AND_TELECOM,AXLE_COUNTER,ALJN,132.08,UP,0.0,0.0,15.0,0,0.0,5.0,11,0,70.8,281,92.0,LOW,False,220,0,336
SIG-0101,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.34,DN,4.84,2.91,11.9,14197,0.0,5.0,17,0,73.9,340,61.28,MEDIUM,True,252,0,225
SIG-0102,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,301.22,UP,0.0,0.0,15.0,0,0.0,5.0,8,15,87.3,318,35.0,HIGH,True,278,1,13
SIG-0103,SIGNAL_AND_TELECOM,AXLE_COUNTER,DER,38.14,DN,0.0,0.0,15.0,0,0.0,5.0,6,0,76.5,39,45.0,HIGH,True,147,1,16
SIG-0104,SIGNAL_AND_TELECOM,EI_SYSTEM,NDLS,0.0,DN,0.0,0.0,15.0,0,0.0,5.0,3,10,87.2,345,35.0,HIGH,True,337,1,13
SIG-0105,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,438.97,YARD,4.91,2.8,14.2,20211,0.0,5.0,13,0,78.5,186,62.82,MEDIUM,True,262,0,231
SIG-0106,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.74,DN,4.34,2.47,15.8,13164,0.0,5.0,1,0,88.5,218,79.14,LOW,False,337,0,289
SIG-0107,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,207.53,YARD,4.85,2.84,16.4,14411,0.0,5.0,14,0,87.2,20,62.78,MEDIUM,True,261,0,231
SIG-0108,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,299.83,YARD,5.32,2.01,14.6,6989,0.0,5.0,16,0,78.8,74,75.26,LOW,False,299,0,275
SIG-0109,SIGNAL_AND_TELECOM,AXLE_COUNTER,DER,37.29,YARD,0.0,0.0,15.0,0,0.0,5.0,18,0,87.9,15,88.0,LOW,False,24,0,321
SIG-0110,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,299.75,UP,4.54,2.37,11.6,18003,0.0,5.0,8,0,98.9,617,78.49,LOW,False,81,0,287
SIG-0111,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.66,YARD,4.88,2.11,14.1,1541,0.0,5.0,13,0,94.6,383,79.51,LOW,False,185,0,291
SIG-0112,SIGNAL_AND_TELECOM,AXLE_COUNTER,GZB,26.3,DN,0.0,0.0,15.0,0,0.0,5.0,11,0,99.0,61,45.0,HIGH,True,240,1,16
SIG-0113,SIGNAL_AND_TELECOM,AXLE_COUNTER,TDL,209.06,UP,0.0,0.0,15.0,0,0.0,5.0,9,0,73.1,660,45.0,HIGH,True,266,1,16
SIG-0114,SIGNAL_AND_TELECOM,AXLE_COUNTER,KRJ,84.21,YARD,0.0,0.0,15.0,0,0.0,5.0,17,0,83.5,435,45.0,HIGH,True,259,1,16
SIG-0115,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,24.32,UP,4.14,2.18,15.7,6197,0.0,5.0,7,0,82.1,72,88.96,LOW,False,207,0,325
SIG-0116,SIGNAL_AND_TELECOM,AXLE_COUNTER,TDL,208.11,YARD,0.0,0.0,15.0,0,0.0,5.0,10,0,90.9,666,45.0,HIGH,True,28,1,16
SIG-0117,SIGNAL_AND_TELECOM,AXLE_COUNTER,NDLS,0.0,DN,0.0,0.0,15.0,0,0.0,5.0,6,0,87.7,335,45.0,HIGH,True,358,1,16
SIG-0118,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,129.67,DN,0.0,0.0,15.0,0,0.0,5.0,11,6,91.5,450,70.0,LOW,False,151,0,257
SIG-0119,SIGNAL_AND_TELECOM,EI_SYSTEM,GZB,26.23,UP,0.0,0.0,15.0,0,0.0,5.0,12,8,84.5,95,70.0,LOW,False,17,0,257
SIG-0120,SIGNAL_AND_TELECOM,EI_SYSTEM,CNB,439.68,YARD,0.0,0.0,15.0,0,0.0,5.0,19,5,83.0,426,70.0,LOW,False,362,0,257
SIG-0121,SIGNAL_AND_TELECOM,AXLE_COUNTER,GZB,24.37,UP,0.0,0.0,15.0,0,0.0,5.0,20,0,83.3,489,100.0,LOW,False,167,0,365
SIG-0122,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,356.7,UP,0.0,0.0,15.0,0,0.0,5.0,4,0,96.4,415,45.0,HIGH,True,48,1,16
SIG-0123,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,439.1,UP,4.73,1.79,14.6,16330,0.0,5.0,17,0,84.6,607,89.05,LOW,False,67,0,325
SIG-0124,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.38,UP,0.0,0.0,15.0,0,4.28,7.92,15,0,95.1,205,97.95,LOW,False,41,0,357
SIG-0125,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,UP,5.31,2.42,14.2,4718,0.0,5.0,18,0,95.5,649,65.76,MEDIUM,False,156,0,241
SIG-0126,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,1.26,YARD,0.0,0.0,15.0,0,2.78,0.96,19,0,90.0,538,26.450000000000003,CRITICAL,True,171,1,10
SIG-0127,SIGNAL_AND_TELECOM,AXLE_COUNTER,ETW,300.92,YARD,0.0,0.0,15.0,0,0.0,5.0,14,0,91.9,309,92.0,LOW,False,189,0,336
SIG-0128,SIGNAL_AND_TELECOM,EI_SYSTEM,CNB,439.72,UP,0.0,0.0,15.0,0,0.0,5.0,20,12,72.4,223,35.0,HIGH,True,62,1,13
SIG-0129,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,37.09,YARD,5.52,3.01,2.5,40729,0.0,5.0,2,0,75.4,542,26.23,CRITICAL,True,95,1,9
SIG-0130,SIGNAL_AND_TELECOM,AXLE_COUNTER,TDL,208.48,DN,0.0,0.0,15.0,0,0.0,5.0,11,0,77.1,608,45.0,HIGH,True,159,1,16
SIG-0131,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.98,UP,0.0,0.0,15.0,0,2.75,7.4,3,0,71.9,204,99.0,LOW,False,20,0,361
SIG-0132,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,82.0,YARD,6.15,3.17,0.5,42155,0.0,5.0,11,0,76.5,288,9.26,CRITICAL,True,74,1,3
SIG-0133,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,129.79,YARD,4.74,1.91,7.4,22994,0.0,5.0,3,0,83.3,34,78.51,LOW,False,48,0,287
SIG-0134,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,PHD,357.48,DN,0.0,0.0,15.0,0,3.24,2.91,18,0,97.6,139,79.05,LOW,False,19,0,289
SIG-0135,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,132.09,UP,5.11,2.65,11.5,22819,0.0,5.0,5,0,81.6,697,63.35,MEDIUM,True,344,0,233
SIG-0136,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.29,UP,6.8,3.1,8.1,37028,0.0,5.0,16,0,70.1,339,33.71,CRITICAL,True,301,1,12
SIG-0137,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,82.29,YARD,5.78,2.72,8.2,18079,0.0,5.0,19,0,88.0,469,46.25,HIGH,True,273,1,16
SIG-0138,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,227.32,YARD,0.0,0.0,15.0,0,0.0,5.0,7,0,75.5,109,45.0,HIGH,True,186,1,16
SIG-0139,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,DN,0.0,0.0,15.0,0,0.0,5.0,16,0,98.4,540,45.0,HIGH,True,311,1,16
SIG-0140,SIGNAL_AND_TELECOM,EI_SYSTEM,KRJ,83.3,UP,0.0,0.0,15.0,0,0.0,5.0,15,12,86.8,288,35.0,HIGH,True,62,1,13
SIG-0141,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,129.69,YARD,4.23,2.19,17.3,12704,0.0,5.0,2,0,85.8,81,87.37,LOW,False,356,0,319
SIG-0142,SIGNAL_AND_TELECOM,AXLE_COUNTER,NDLS,0.0,DN,0.0,0.0,15.0,0,0.0,5.0,16,0,82.6,114,92.0,LOW,False,223,0,336
SIG-0143,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,131.25,DN,0.0,0.0,15.0,0,0.0,5.0,9,9,75.4,84,35.0,HIGH,True,323,1,13
